paper_name,journal,number_entities
conf_www_GuoIAG07,WWW,10
conf_www_LiDGMS15,WWW,10
conf_www_CannonW10,WWW,10
conf_www_JiangHPH07,WWW,10
conf_www_ChiuBGK01,WWW,10
conf_icse_NagappanBZ06,ICSE,10
conf_icse_LetierL02,ICSE,10
conf_icse_DigME09,ICSE,10
conf_icse_PotaninDN13,ICSE,10
conf_icse_WlokaRTR09,ICSE,10
conf_icse_HatcliffRCB13,ICSE,10
conf_icse_PoladianSGS04,ICSE,10
conf_icse_TuckerSJL07,ICSE,10
conf_icse_BrindescuCSD14,ICSE,10
conf_icse_StylosC07,ICSE,10
conf_icse_MichailN99,ICSE,10
conf_icse_SchmerlGDBC11,ICSE,10
conf_icse_NakagawaFTS88,ICSE,10
conf_icse_Wegner78,ICSE,10
conf_icse_DigNMJ08,ICSE,10
conf_icse_BarthGB85,ICSE,10
conf_icse_FigueiredoC08,ICSE,10
conf_icse_FroehlichHLS97,ICSE,10
conf_icse_ShangJHAHM13,ICSE,10
conf_icse_HaoLHG13,ICSE,10
conf_icse_GhoshSLC13,ICSE,10
conf_icse_BorgidaD99,ICSE,10
conf_vldb_LeeZL07,VLDB,10
conf_vldb_AndlerDEHKMW82,VLDB,10
conf_vldb_YanG95,VLDB,10
conf_vldb_Karsner75,VLDB,10
conf_vldb_SuC91,VLDB,10
conf_vldb_KwonRML05,VLDB,10
conf_vldb_BurdickDRV07,VLDB,10
conf_vldb_GravanoIJKMS01,VLDB,10
conf_vldb_ChaudhuriG99,VLDB,10
conf_vldb_AnandBH94,VLDB,10
conf_vldb_BrownCL93,VLDB,10
conf_vldb_Morgenstern83,VLDB,10
conf_vldb_ErcegovacDR05,VLDB,10
conf_vldb_MorfoniosI06,VLDB,10
conf_vldb_Mohan99,VLDB,10
conf_vldb_ArgePRSV98,VLDB,10
conf_vldb_BotanFFKKT07,VLDB,10
conf_vldb_SchindlerAG03,VLDB,10
conf_vldb_LamKR02,VLDB,10
conf_vldb_ShaoSSAG04,VLDB,10
conf_vldb_KimLMP84,VLDB,10
conf_vldb_Vaskevitch95,VLDB,10
conf_vldb_SeshadriLR97,VLDB,10
conf_vldb_NicolaL05,VLDB,10
conf_vldb_PoessO05,VLDB,10
conf_vldb_IvanovaR05,VLDB,10
conf_vldb_DDH07,VLDB,10
conf_vldb_Manacher75,VLDB,10
conf_vldb_Jhingran88,VLDB,10
conf_vldb_ChandrasekaranF04,VLDB,10
conf_vldb_SubietaKL95,VLDB,10
conf_vldb_JonscherD94,VLDB,10
conf_vldb_0002OIA06,VLDB,10
conf_vldb_KoudasLTV06,VLDB,10
conf_jcdl_Buchanan10,JCDL,9
conf_jcdl_SongSAO06,JCDL,9
conf_jcdl_BuchananBDW05,JCDL,9
conf_jcdl_FaensenFSHS01,JCDL,9
conf_jcdl_TonniesKB11,JCDL,9
conf_jcdl_RodriguezBS07,JCDL,9
conf_jcdl_BornandBS16,JCDL,9
conf_jcdl_Dallmeier-TiessenLHRKN14,JCDL,9
conf_jcdl_KellyNW14,JCDL,9
conf_jcdl_ShifrinPMB02,JCDL,9
conf_jcdl_JaneeMF08,JCDL,9
conf_jcdl_WittenBPB02,JCDL,9
conf_jcdl_FoxXK16,JCDL,9
conf_jcdl_LagozeS01,JCDL,9
conf_jcdl_WittY12,JCDL,9
conf_jcdl_GollapalliMG13,JCDL,9
conf_sigir_Stairmand97,SIGIR,9
conf_sigir_KorC07,SIGIR,9
conf_sigir_Mauldin91,SIGIR,9
conf_sigir_NottelmannF03,SIGIR,9
conf_sigir_ZhangCM02,SIGIR,9
conf_sigir_TellexKLFM03,SIGIR,9
conf_sigir_ChenBSCG11,SIGIR,9
conf_sigir_Grivolla05,SIGIR,9
conf_sigir_ManmathaRF01,SIGIR,9
conf_sigir_LappasPS11,SIGIR,9
conf_sigir_EichmannRS98,SIGIR,9
conf_sigir_TaoZ07,SIGIR,9
conf_sigir_BompadaCCKS07,SIGIR,9
conf_sigir_TryfonopoulosIK05,SIGIR,9
conf_sigir_SmithWF87,SIGIR,9
conf_sigir_KonigGW09,SIGIR,9
conf_sigir_MinackSN11,SIGIR,9
conf_sigir_ZhouHH11,SIGIR,9
conf_sigir_Harman92,SIGIR,9
conf_sigir_RavivKC16,SIGIR,9
conf_sigir_YuLZZL12,SIGIR,9
conf_sigir_ShenTZ05,SIGIR,9
conf_sigir_Zhang04,SIGIR,9
conf_sigir_AmitayCLS04,SIGIR,9
conf_sigir_RamanBC13,SIGIR,9
conf_sigir_ParkKZG15,SIGIR,9
conf_sigir_Efron13,SIGIR,9
conf_sigir_KraijP96,SIGIR,9
conf_sigir_YangKML15,SIGIR,9
conf_sigir_LourencoVPMFP14,SIGIR,9
conf_sigir_TongAAC87,SIGIR,9
conf_sigir_RaiberK13,SIGIR,9
conf_sigir_GuoA10,SIGIR,9
conf_ercimdl_ManguinhasB06,ECDL,9
conf_ercimdl_SompelL02,ECDL,9
conf_ercimdl_WittenBPB02,ECDL,9
conf_ercimdl_ManghiMCAB10,ECDL,9
conf_ercimdl_CastelliMP02,ECDL,9
conf_ercimdl_MeierSHS03,ECDL,9
conf_ercimdl_SulemanF02,ECDL,9
conf_ercimdl_AndreoniBBCCPP99,ECDL,9
conf_ercimdl_Noordermeer97,ECDL,9
conf_ercimdl_ChristophidesDF97,ECDL,9
conf_ercimdl_Lee04,ECDL,9
conf_ercimdl_TansleyBS03,ECDL,9
conf_ercimdl_Holmstrom04,ECDL,9
conf_ercimdl_BernDM97,ECDL,9
conf_trec_Litkowski02,TREC,9
conf_trec_SmeatonO02,TREC,9
conf_trec_PragerBRC00,TREC,9
conf_trec_BaruahGRV13,TREC,9
conf_trec_Demner-FushmanHILSTWADRR06,TREC,9
conf_trec_SekiCSM04,TREC,9
conf_trec_JingujiLEMBEJNYZ06,TREC,9
conf_trec_SchuemieTM11,TREC,9
conf_trec_KwokGC00,TREC,9
conf_trec_BalogSV11,TREC,9
conf_trec_WuL15,TREC,9
conf_trec_GuoHG04,TREC,9
conf_trec_AminiSLM12,TREC,9
conf_trec_NiaGPWP13,TREC,9
conf_trec_Tomlinson02,TREC,9
conf_trec_AlmquistMHS08,TREC,9
conf_trec_WangSMS08,TREC,9
conf_trec_GoodwinH14,TREC,9
conf_trec_ShenWMKHLK07,TREC,9
conf_trec_StokesLCHRZ07,TREC,9
conf_trec_GurrinS99,TREC,9
conf_trec_LvFQFY14,TREC,9
conf_trec_YuAGLNNSTWZB05,TREC,9
conf_trec_GurulingappaMKMHFF10,TREC,9
conf_trec_GaizauskasGHRSS03,TREC,9
conf_trec_Tomlinson10,TREC,9
conf_trec_IppolitoSMGSS15,TREC,9
conf_trec_ChandarKMTC09,TREC,9
conf_icwsm_ChenWNWS12,ICWSM,9
conf_esws_KluschKZ09,ESWC,9
conf_esws_MollerBB06,ESWC,9
conf_esws_GengeH09,ESWC,9
conf_esws_RoucesMH15a,ESWC,9
conf_esws_MeuselP15,ESWC,9
conf_esws_DukeGD07,ESWC,9
conf_esws_TablanDB08,ESWC,9
conf_esws_Stoilos14,ESWC,9
conf_esws_Schlobach05,ESWC,9
conf_esws_KietzSFB14,ESWC,9
conf_esws_CelinoV05,ESWC,9
conf_esws_VitvarZM07,ESWC,9
conf_esws_GrayGO09,ESWC,9
conf_esws_SiorpaesH08,ESWC,9
conf_esws_KobilarovSROSSBL09,ESWC,9
conf_esws_KerriganMTF07,ESWC,9
conf_esws_Rosati12,ESWC,9
conf_esws_HartmannBPG06,ESWC,9
conf_www_DasDGR07,WWW,9
conf_www_MinnichCMLF15,WWW,9
conf_www_MengCMSZ15,WWW,9
conf_www_WuW08,WWW,9
conf_www_GollapalliCMG13,WWW,9
conf_www_HorrocksP03,WWW,9
conf_www_FuxmanTAA08,WWW,9
conf_www_MeiZCT09,WWW,9
conf_www_MaggiFZSSKV13,WWW,9
conf_www_BroekstraKDFHH01,WWW,9
conf_www_SchenkS08,WWW,9
conf_www_OrenDGHD07,WWW,9
conf_www_ChakrabartiKP07,WWW,9
conf_www_BuchananFJTMP01,WWW,9
conf_www_BlackburnSKZRSI12,WWW,9
conf_www_MotikHS07,WWW,9
