paper_id,number_occurances,weighted_occurances
conf_www_kosekn06,9,9
conf_www_phampeb15,9,9
conf_www_alzoubirs13,9,9
conf_www_donglllw04,9,9
conf_icse_medvidovicot97,9,9
conf_icse_pradellarmc00,9,9
conf_icse_balkk00,9,9
conf_icse_manotaspc14,9,9
conf_icse_emmerichmf00,9,9
conf_icse_bruegged97,9,9
conf_icse_holmesw07,9,9
conf_icse_fitzgeraldsoo13,9,9
conf_icse_mikkonen98,9,9
conf_icse_mcmillangp12,9,9
conf_icse_linlzz16,9,9
conf_icse_pettitg06,9,9
conf_icse_raghothamanwh16,9,9
conf_icse_bidoitbggg84,9,9
conf_icse_denert79,9,9
conf_icse_muslubnc14,9,9
conf_icse_boss11,9,9
conf_icse_nikzadcg14,9,9
conf_icse_grechanikfx12,9,9
conf_icse_jezequel98,9,9
conf_icse_thomas89,9,9
conf_icse_plonkasl12,9,9
conf_icse_akikiby14,9,9
conf_icse_makcl04,9,9
conf_icse_hsiao76,9,9
conf_icse_rubinovrmr16,9,9
conf_icse_fostergl12,9,9
conf_icse_bifflgo96,9,9
conf_icse_caic16,9,9
conf_icse_brownej78,9,9
conf_icse_yuqc16,9,9
conf_icse_jerdingsb97,9,9
conf_icse_rathke87,9,9
conf_icse_almesr78,9,9
conf_icse_gomaa01,9,9
conf_icse_paster81,9,9
conf_icse_biggerstaffef84,9,9
conf_icse_mauleer08,9,9
conf_icse_penixvelw00,9,9
conf_icse_niereswww02,9,9
conf_icse_longc89,9,9
conf_icse_devanburw94,9,9
conf_icse_maleksrpm07,9,9
conf_icse_gerhartcr93,9,9
conf_icse_berstelcrp01,9,9
conf_icse_germanh09,9,9
conf_vldb_micheltw05,9,9
conf_vldb_cosleylp02,9,9
conf_vldb_lynchs88,9,9
conf_vldb_goyalhss95,9,9
conf_vldb_lecluser89,9,9
conf_vldb_shethkmwdlpls96,9,9
conf_vldb_walter84,9,9
conf_vldb_guting89,9,9
conf_vldb_donghy07,9,9
conf_vldb_papadopoulosyp07,9,9
conf_vldb_liwy07,9,9
conf_vldb_kacholiapcsdk05,9,9
conf_vldb_pedersenjd99,9,9
conf_vldb_dayal87,9,9
conf_vldb_sarawagi95,9,9
conf_vldb_maindrevilles88,9,9
conf_vldb_luc85,9,9
conf_vldb_adibaq86,9,9
conf_vldb_lyngbaekm84,9,9
conf_vldb_chiticariut06,9,9
conf_vldb_labioycgw00,9,9
conf_vldb_chakaravarthygrm06,9,9
conf_vldb_chenlthac06,9,9
conf_vldb_mohanbwsz00,9,9
